nutrition/0/0,nutrition/0/1,nutrition/1/0,nutrition/1/1,nutrition/2/0,nutrition/2/1,nutrition/3/0,nutrition/3/1,nutrition/4/0,nutrition/4/1,nutrition/5/0,nutrition/5/1,nutrition/6/0,nutrition/6/1,nutrition/7/0,nutrition/7/1,nutrition/8/0,nutrition/8/1,nutrition/9/0,nutrition/9/1,nutrition/10/0,nutrition/10/1,nutrition/11/0,nutrition/11/1,nutrition/12/0,nutrition/12/1,nutrition/13/0,nutrition/13/1,nutrition/14/0,nutrition/14/1,nutrition/15/0,nutrition/15/1,nutrition/16/0,nutrition/16/1,nutrition/17/0,nutrition/17/1,caloriesFromFat,calories,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,directions/0,directions/1,ingredients/0,ingredients/1,ingredients/2,ingredients/3,ingredients/4,ingredients/5,ingredients/6,ingredients/7,ingredients/8,ingredients/9,ingredients/10,servingsNumber,totalTime,cookTime,prepTime,photoUrl,shortDescription,title,directions/2,ingredients/11,ingredients/12,directions/3,ingredients/13,ingredients/14,ingredients/15,ingredients/16,directions/4,directions/5,directions/6,directions/7,ingredients/17,ingredients/18,ingredients/19,ingredients/20,directions/8,tags/7,directions/9,directions/10,directions/11,directions/12,ingredients/21,ingredients/22,ingredients/23,ingredients/24,ingredients/25,ingredients/26,ingredients/27,ingredients/28,ingredients/29,ingredients/30,ingredients/31,ingredients/32,ingredients/33,ingredients/34,ingredients/35,ingredients/36,ingredients/37
Total Fat,23g,Saturated Fat,11g,Sodium,1014mg,Carbohydrates,34g,Dietary Fiber,9g,Protein,19g,Sugars,7g,Vitamin C,80mg,Calcium,328mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,19mg,Folate,34mcg,Vitamin A - IU,1680IU,Cholesterol,61mg,Potassium,282mg,210,432,vegetarian,grilling,BUSHâ€™SÂ® beans,,,,,Cut poblano chiles in half lengthwise to create a boat for filling; scrape out seeds.*,"Heat olive oil in a nonstick skillet.  Add onion, garlic, jalapenos, red bell pepper, cilantro and cumin and cook over medium heat until golden brown, about 4 minutes.  Remove pan from heat and stir in BUSHâ€™S<sup>Â®</sup> Vegetarian Baked Beans, hot sauce and 8 ounces cheese.  Add salt and pepper to taste.  Spoon the mixture into the hollowed chiles and sprinkle with remaining cheese.",6 large poblano chiles*,2 tablespoons extra virgin olive oil,"1 medium onion, finely chopped","2 cloves garlic, finely chopped","2 jalapenos, seeded and chopped**","1/2 red bell pepper, finely chopped",1/2 cup chopped fresh cilantro,1 teaspoon cumin,"1 (28 ounce) can BUSHâ€™S<sup>Â®</sup> Vegetarian Baked Beans, drained",1 1/2 teaspoons hot sauce,"12 ounces Pepper Jack or Monterey Jack, coarsely grated",6 servings, 1 hour, 40   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71664.jpg,"An easy vegetarian recipe with zing. Poblano chiles are stuffed with beans, peppers and onions, covered with cheese and grilled.",Grilled Chile Rellenos I,"Preheat grill to medium.   Arrange chiles on grill away from heat.  Cook until chiles are tender and cheese is browned and bubbling, 30 to 40 minutes.  Remove from grill and serve at once.",Salt and freshly ground black pepper to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,12g,Saturated Fat,4g,Sodium,571mg,Carbohydrates,38g,Dietary Fiber,4g,Protein,19g,Sugars,2g,Vitamin C,2mg,Calcium,94mg,Iron,3mg,Thiamin,1mg,Niacin Equivalents,8mg,Vitamin B6,0mg,Magnesium,31mg,Folate,66mcg,Vitamin A - IU,828IU,Cholesterol,37mg,Potassium,383mg,104,341,pinto,slow cooker,BUSHâ€™SÂ® beans,,,,,"Place the pork, beans, enchilada sauce, carrot, and salsa in the slow cooker and stir to combine. Cover and cook on low for 7 to 8 hours.","When the meat is done, carefully remove the lid of the slow cooker. Using two forks, pull the meat apart into shredded pieces and mix with the sauce.","2 pounds pork loin, trimmed of all visible fat","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Pinto Beans or BUSHâ€™S<sup>Â®</sup> Reduced Sodium Pinto Beans, drained and rinsed","1 (10 ounce) can enchilada sauce (mild, medium, or hot)","1 small carrot, peeled and grated","1/2 cup salsa (mild, medium, or hot)",10 (10 inch) flour tortillas,"*Optional Toppings: shredded low fat cheddar cheese, shredded romaine lettuce, reduced fat sour cream",,,,,12 servings, 7   hours 5   Minutes, 7   hours, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/209557.jpg,"Created for BUSHâ€™S<sup>Â®</sup> Beans by Liz Weiss, registered dietitian, 
co-founder of the family-friendly food blog, â€œMeal Makeover Moms' Kitchenâ€ù at MealMakeoverMoms.com/kitchen, Kiwi magazine freelance writer, and mom.",Slow Cooker Pork and Pinto Bean Enchiladas,"Place the tortillas on a plate and heat on high in the microwave until warm, 30 to 45 seconds.",,,Use a slotted spoon or tongs to divide the pork mixture evenly and put it in the center of each tortilla.,,,,,"Add *optional toppings as desired and roll up burrito style, slice in half, and serve.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,29g,Saturated Fat,16g,Sodium,1721mg,Carbohydrates,73g,Dietary Fiber,10g,Protein,28g,Sugars,20g,Vitamin C,18mg,Calcium,528mg,Iron,3mg,Thiamin,0mg,Niacin Equivalents,7mg,Vitamin B6,0mg,Magnesium,42mg,Folate,85mcg,Vitamin A - IU,890IU,Cholesterol,68mg,Potassium,362mg,260,662,BUSHâ€™SÂ® beans,quick & easy,,,,,,"Lay out 6 of the tortillas and sprinkle with cheese, onions, peppers and baked beans.  Add another layer of cheese and top with remaining tortillas.",Cook on warm grill for three minutes on each side or until warm throughout.,12 (6 inch) flour tortillas,3 cups shredded Cheddar cheese,"1 small white onion, diced","1 green pepper, diced",1 (28 ounce) can BUSHâ€™S<sup>Â®</sup> Country Style Baked Beans,1 cup prepared salsa,1/2 cup sour cream,,,,,6 servings, 16   Minutes, 6   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63877.jpg,"Baked beans, green peppers and onions blended with Cheddar cheese create quesadillas with ultimate flavor.",Baked Beans Queso-dillas,Serve with sour cream and salsa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,38g,Sodium,2492mg,Dietary Fiber,14g,Protein,56g,Sugars,8g,Cholesterol,184mg,Total Carbs,90g,,,,,,,,,,,,,,,,,,,,,,,,926,,,,,,,,"For Hamburgers: In large bowl mix together beef, egg, salt and pepper, making sure egg and seasonings are evenly distributed throughout mixture.","Divide mixture into 8 3-ounce portions (use food scale if desired). Using your hands, form each portion into 4-inch-wide patties and place on platter. (Tip: To easily make patties, rinse hands with very cold water and ensure meat is cold prior to forming.)",For Hamburgers:,1Â_ pounds ground beef,1 each egg,1Â_ teaspoons kosher salt,"1Â_ teaspoons black pepper, ground",For Hamburger Filling:,Â_ cup shredded Cheddar cheese,Â_ cup shredded Colby Jack cheese,"Â_ cup roasted red peppers, diced*",4 teaspoons steak sauce,Â_ teaspoon chile powder,4, 42   Minutes, 12   Minutes, 30   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/132f1c9f-f16c-4f8f-be99-5f9f106826d9.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans<sup>Â®</sup> by Chris Grove, author of the outdoor cooking blog, â€œNibble Me Thisâ€ù (www.nibblemethis.com).
",Ultimate Stuffed Burger,"For Hamburger Filling: In medium bowl mix cheeses, red peppers, steak sauce and chile powder.",4 each hamburger buns,1 can (28 ounces) BUSHâ€™S<sup>Â®</sup> Original Baked Beans,"Using a spoon, place Â_ of cheese filling in center of each of the 4 patties.",,,,,Carefully place remaining 4 patties on top of filling creating 4 individual hamburgers. Pinch together edges of each hamburger to seal filling.,"Set clean, well-oiled grill to medium heat (400 degrees F). When grill is hot, using a spatula, place hamburgers on grill and cook about 4 minutes. Carefully slide a spatula under each burger and rotate one quarter turn. Grill another 2 minutes (this will create nice sear marks).","Using a spatula, flip burgers and grill for 3 minutes. Carefully slide a spatula under each burger and rotate one quarter turn. Grill another 3 minutes or until internal temperature is at least 145 degrees F.",Remove hamburgers from grill and place in hamburger buns.,,,,,Serve with BUSHâ€™S Original Baked Beans.,,,,,,,,,,,,,,,,,,,,,,
Fat,8g,Sodium,540mg,Dietary Fiber,7g,Protein,33g,Cholesterol,72mg,Total Carbs,27g,,,,,,,,,,,,,,,,,,,,,,,,,,318,Family Inspired,BUSH'S,special,chili beans,,,,"Heat oil in a 10-inch skillet over medium-high heat. Cook chicken with onion, garlic and seasonings 3-4 minutes until chicken is just browned. ","Stir in beans, cooking 2 more minutes.",1 tablespoon olive oil ,"1 pound boneless, skinless chicken breast, cut into 1/2-inch pieces ","1/4 cup onion, chopped","1 clove garlic, chopped",1 1/2 teaspoons ground cumin,2 teaspoons chili powder,1 teaspoon dried oregano,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Beans, drained","1 (10 ounce) can diced tomatoes with jalapeno, drained","1 lime, juiced",1 tablespoon brown sugar,4, 23   Minutes, 8   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/fb098e4d-9086-4ca8-b8ab-757836d7a0a3.jpg,This spiced up chicken dish is quick and easy. Dinner is reading in under 30 minutes!,Spicy Stovetop Chicken with Tomatoes,"Stir in tomatoes, lime juice and brown sugar until combined. Season with salt and pepper to taste. ",salt and pepper ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,3g,Saturated Fat,2g,Sodium,717mg,Carbohydrates,18g,Dietary Fiber,5g,Protein,9g,Sugars,2g,Vitamin C,2mg,Calcium,57mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,12mg,Folate,25mcg,Vitamin A - IU,1289IU,Cholesterol,8mg,Potassium,101mg,26,123,black beans,BUSHâ€™SÂ® beans,quick & easy,,,,,Set BUSHâ€™S<sup>Â®</sup> Black Beans and chives in separate shallow bowls.,"Combine rice, salad dressing and cheese in small bowl. Scoop into third shallow bowl.","1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, rinsed and drained",1/2 cup cooked brown rice,1/2 cup crumbled plain low fat feta or goat cheese,1/3 cup Fat Free Italian salad dressing,1/4 cup chopped chives or green onions,12 large leaves Boston lettuce*,,,,,,6 servings, 15   Minutes,0   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71670.jpg,Lettuce leaves are used to wrap black beans and chives with a tangy brown rice and cheese mixture. Your guests may vary their wraps however the like! This appetizer is fun and easy.,Black Bean and Cheese Lettuce Wraps,Set leaves on plate and allow guests to create own lettuce wraps. **,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,4g,Sodium,836mg,Dietary Fiber,7g,Protein,12g,Sugars,21g,Cholesterol,15mg,Total Carbs,47g,,,,,,,,,,,,,,,,,,,,,,,,274,Family Inspired,BUSH'S,special,,,,,Heat oil in a 10-inch skillet over medium heat. Cook pulled pork or chorizo until browned. Drain; transfer meat to plate. ,"Add onion, garlic and jalapeno to skillet; cook about 3 minutes or until onion is tender. ",1 tablespoon olive oil,7 ounces pulled pork or chorizo (casing removed),"1 medium onion, diced","4 cloves garlic, chopped 2 jalapeno peppers, seeded and chopped  1/2 cup ketchup 1/2 cup molasses 1/4 cup Dijon mustard 2 tablespoons brown sugar 2 tablespoons Worcestershire sauce 1 tablespoon hot sauce (or more to taste) 1/2 teaspoon ground ginger","2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Red Beans, drained",,,,,,,8, 35   Minutes, 20   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/f4ce490e-3ed9-489b-a170-e3920cec7edb.jpg,"Spicy pork and red beans are simmered in a rich sauce with ketchup, molasses, and mustard in this crowd-pleasing dish.",Caribbean BBQ Beans,"Stir in ketchup, molasses, mustard, brown sugar, Worcestershire sauce, hot sauce and ginger. Return meat to skillet and bring to a boil. Reduce heat and cook 2 minutes. ",,,Stir in beans. Simmer over low heat 15 minutes; stir occasionally. Serve warm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,25g,Sodium,1379mg,Dietary Fiber,5g,Protein,28g,Sugars,2g,Cholesterol,83mg,Total Carbs,41g,,,,,,,,,,,,,,,,,,,,,,,,492,,,,,,,,Preheat oven to 400 degrees F. ,Spray a 13â€ù x 9â€ù baking dish with cooking spray. ,"1 rotisserie chicken, deboned and chopped","1Â_ cup instant white or brown rice, uncooked",1 jar (16 ounces) mild picante sauce,1 can (11 ounces)corn and peppers,1 can (10 ounces) red enchilada sauce,1 can (22 ounces) BUSHâ€™S<sup>Â®</sup> Black Fiesta Grillinâ€™ Beans<sup>Â®</sup> ,"1 package (16 ounces) Mexican-style shredded cheese, divided",,,,,8, 50   Minutes, 20   Minutes, 30   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/18498007-35df-4e4a-8924-3d6fe2e32fc8.jpg,Add a new twist to Rotisserie chicken with Black Fiesta Grillin' Beans<sup>Â®</sup> and other Mexican flavors. Itâ€™s a dish that will make your guests ask for seconds.,BUSHâ€™S<sup>Â®</sup> Fiesta Chicken and Rice Bake,"In a large bowl, mix the first six ingredients with 1 cup of shredded cheese. ",,,Spread mixture evenly into baking dish and top with 1â€“2 cups of remaining cheese.,,,,,Bake for 20â€“30 minutes until heated through and cheese is melted and bubbly. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,15g,Sodium,7197mg,Dietary Fiber,10g,Protein,28g,Sugars,27g,Cholesterol,57mg,Total Carbs,50g,,,,,,,,,,,,,,,,,,,,,,,,453,,,,,,,,For Memphis Dry-Rub: In large bowl mix together rub ingredients with hand or stand mixer. Set aside. ,For Chicken Wings: Rinse wings in cold water and dry with paper towel. Place wings in large plastic resealable bag and add â…“ cup of rub. Set remaining rub aside. ,For Memphis Dry-Rub:,"â…›	cup			unrefined evaporated cane sugar*","â…›	cup			golden or light brown sugar","â…“	cup			kosher salt or medium fine sea salt","2 	teaspoons		sweet Hungarian paprika","2 	teaspoons		regular chili powder or medium heat chili powder ","2 	teaspoons		granulated onion ","2 	teaspoons		ground mustard","â…“	tablespoon		granulated garlic","Â_ 	teaspoons		dried thyme","Â_ 	teaspoons		dried oregano",6, 4   hours 20   Minutes, 2   hours, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/3798a9fa-0d6c-4671-a6fd-093a94563595.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by John Dawson, author of outdoor cooking blog, â€œPatio Daddio BBQâ€ù (www.PatioDaddioBBQ.com).",Memphis Dry-Rubbed Wings,Seal bag and shake to evenly coat wings. Place bag on lipped sheet pan or cookie sheet and refrigerate for 2 hours to overnight. ,"Â_ 	teaspoons		fresh ground black pepper","Â_ 	teaspoons		celery salt",Drain liquid from bag. Add 2 more tablespoons rub. Seal and shake to evenly coat wings. Set aside.,"Â_ 	teaspoons		ground ginger","â…“	teaspoon		ground coriander","â…“	teaspoon		ground cayenne (optional)",For Chicken Wings:,Spray grill grates with canola oil. Set clean well-oiled grill to medium heat (250-275 degrees F) and prepare for indirect cooking.**,"When grill is hot, using tongs, place wings on cool side of grill and cook over indirect heat for 1 hour. To add smoky flavor to wings, use â€œPatio Daddio BBQâ€™sâ€ù tip.***","Using tongs, flip wings and lightly spray wings with canola oil. Dust wings very lightly with rub and cook for 1 hour or until internal temperature is at least 165 degrees F. ","Using tongs, remove wings from grill and place on large platter. ","3	pounds			chicken wing pieces",Canola oil spray," 1	each			large plastic resealable bag				","1 	can (28 ounces each)	BUSHâ€™S<sup>Â®</sup> Country Style Baked Beans ",Serve with BUSHâ€™S Country Style Baked Beans.,,,,,,,,,,,,,,,,,,,,,,
Fat,21g,Sodium,706mg,Dietary Fiber,10g,Protein,17g,Sugars,4g,Cholesterol,28mg,Total Carbs,41g,,,,,,,,,,,,,,,,,,,,,,,,423,sandwich,Family Inspired,BUSH'S,special,great northern beans,,,Brush butter on outer side of each slice of bread.,Add half of the beans to a bowl and mash gently with a potato masher or the back of a fork. Stir in remaining whole beans. Spread evenly on the inner side of 4 slices of bread.,1 tablespoon butter,8 slices whole wheat or other crusted bread,"1 (15.8 ounce) can BUSHâ€™S<sup>Â®</sup> Great Northern Beans, drained","1/2 small onion, chopped","2 ribs celery, chopped",1/4 cup mayonnaise,pinch of salt,1/2 cup shredded Cheddar cheese,,,,4, 30   Minutes, 15   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/1060e166-7e61-4084-8747-68c73ab385db.jpg,Mashed white beans make this vegetarian sandwich extra hearty and filling.,White Bean Cheddar Melt,"Mix onion, celery, mayonnaise and salt in the bean bowl; spread on top of beans. Sprinkle evenly with cheese and top with remaining slices of bread, buttered side facing up.",,,"Using a panini press, baking sheet or skillet, toast the melts on both sides. Let rest several minutes so cheese does not run when cut. Cut and serve.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,11g,Saturated Fat,2g,Sodium,360mg,Carbohydrates,19g,Dietary Fiber,7g,Protein,5g,Sugars,2g,Vitamin C,17mg,Calcium,8mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,12mg,Folate,30mcg,Vitamin A - IU,312IU,Cholesterol,0mg,Potassium,194mg,99,192,black beans,pinto,salsa,dips,great northern,BUSHâ€™SÂ® beans,party favs,"In a small bowl, combine garlic, red wine vinegar, and mustard in bowl. Let sit for 5 minutes. Whisk in olive oil. Set aside.","Place beans, corn, red pepper, chiles, red onion and cilantro in a medium bowl. Pour in vinegar mixture, gently mix.",1 teaspoon chopped garlic,1/4 cup red wine vinegar,1 tablespoon Dijon mustard,1/4 cup extra virgin olive oil,"1/2 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, drained and rinsed","1/2 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Pinto Beans, drained and rinsed","1/2 (15.8 ounce) can BUSHâ€™S<sup>Â®</sup> Great Northern Beans, drained and rinsed",1/2 cup cooked canned corn,1/4 cup diced red pepper,"1 (3 ounce) can chopped green chiles, drained",1/2 cup chopped red onion,8 servings, 30   Minutes,0   Minutes, 30   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/ef214ef1-5f1a-40a2-b9e0-f0d5b9e22448.jpg,"Pinto, black and Great Northern beans combined with corn, red peppers and avocados make for colorful dip or a unique burger topping. Serve as salsa with tortilla chips or as a topper for hot dogs and burgers.",Three Bean Confetti Salsa,Fold in avocado and adjust seasonings.,2 tablespoons chopped cilantro,1 chopped avocado (cut right before using),,Salt and black pepper to taste,,,,,,,,,,,,,kid friendly,,,,,,,,,,,,,,,,,,,,,
Total Fat,2g,Saturated Fat,1g,Sodium,378mg,Carbohydrates,15g,Dietary Fiber,3g,Protein,5g,Sugars,0g,Vitamin C,1mg,Calcium,2mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,0mg,Vitamin B6,0mg,Magnesium,2mg,Folate,1mcg,Vitamin A - IU,16IU,Cholesterol,4mg,Potassium,26mg,15,98,BUSHâ€™SÂ® beans,party favs,kid friendly,,,,,"Heat bacon drippings in heavy saucepan. Add onion and cook until soft. Add BUSHâ€™S<sup>Â®</sup> Blackeye Peas with the liquid in the can, pepper, and ham pieces. Bring to a boil. Stir. Lower heat and simmer 30 minutes or longer, stirring occasionally.",,1 tablespoon bacon drippings,1/2 cup chopped onion (optional),1 (42 ounce) can BUSHâ€™S<sup>Â®</sup> Blackeye Peas,1/4 teaspoon cayenne pepper,"1/2 cup leftover cooked ham pieces, or more as desired",,,,,,,6 cups, 45   Minutes, 35   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146434.jpg,"With the added kick of cayenne pepper, these blackeye peas are great with pork chops, ham, or served all by themselves.",Not Just For New Years Blackeye Peas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,11g,Saturated Fat,5g,Sodium,1154mg,Carbohydrates,101g,Dietary Fiber,15g,Protein,31g,Sugars,15g,Vitamin C,8mg,Calcium,359mg,Iron,5mg,Thiamin,0mg,Niacin Equivalents,12mg,Vitamin B6,0mg,Magnesium,68mg,Folate,155mcg,Vitamin A - IU,1370IU,Cholesterol,27mg,Potassium,591mg,99,640,BUSHâ€™SÂ® beans,pasta,,,,,,"Preheat oven to 375 degrees. Prepare pasta according to package directions. Drain and return to saucepan. Stir in tomatoes, BUSHâ€™S<sup>Â®</sup> Kidney Beans and spaghetti sauce. Transfer to 2-quart baking dish and top with shredded mozzarella. Bake until cheese is melted and golden, about 40 minutes.",,1 (16 ounce) package penne pasta,1 (16 ounce) can diced tomatoes,"2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Light or Dark Kidney Beans, drained and rinsed",1 (26 ounce) jar spaghetti sauce,2 cups shredded mozzarella cheese,,,,,,,6 to 8 servings, 55   Minutes, 40   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63859.jpg,This easy-to-make family favorite will please kids and adults alike.,Cheesy Pasta & Bean Bake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,12g,Sodium,326mg,Dietary Fiber,4g,Protein,7g,Sugars,19g,Cholesterol,11mg,Total Carbs,72g,,,,,,,,,,,,,,,,,,,,,,,,408,,,,,,,,Pre-heat oven to 350 degrees F.,"In a food processor, puree BUSHâ€™S<sup>Â®</sup> Sweet Mesquite Grillinâ€™ Beans<sup>Â®</sup> with the milk.",1 can (21.5 ounces)BUSHâ€™S<sup>Â®</sup> Sweet Mesquite Grillinâ€™ Beans<sup>Â®</sup> ,Â_ cup pureed pumpkin,â…“ cup milk,"2Â_ cups	flour",Â_ teaspoon baking soda,Â_ teaspoon baking powder,Â_ cup cocoa powder,Â_ teaspoon salt,"Â_ cup (Â_ stick) butter, softened",Â_ cup sugar,"Â_ cup light brown sugar, firmly packed",12, 45   Minutes, 30   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/d1ed9f3d-b26c-4b23-9da0-479052d3043e.jpg,Sweet Mesquite Grillinâ€™ Beans<sup>Â®</sup> adds a layer of sweet and smoky richness to dark chocolate. ,BUSHâ€™S<sup>Â®</sup> Sweet and Smoky Dark Chocolate Bars,Fold in pureed pumpkin. Set bean mixture aside.,Â_ cup applesauce,2 teaspoons vanilla extract,"Sift together flour, baking soda, baking powder, cocoa powder, and salt.  Set aside.","2 cups dark chocolate morsels, plus extra for topping",,,,"Cream together butter, sugar, and brown sugar.",Add applesauce and vanilla.,Alternate mixing in bean mixture and flour mixture.,Then stir in chocolate morsels.,,,,,Spread mixture onto greased sheet pan and top with extra chocolate morsels.,,"Bake for 25 â€“ 30 minutes, or until done.","Let cool for 5 minutes, then cut into square bars.",,,,,,,,,,,,,,,,,,,
